filename,image_width,image_height,class,xmin,ymin,width,height
shoe_135.jpeg,1280,574,shoe,315,330,379,139
shoe_p124.jpg,6936,9248,shoe,3115,2664,1851,1971
shoe_p124.jpg,6936,9248,shoe,2109,2426,1068,2813
shoe_124.jpeg,1200,1599,shoe,399,346,276,721
shoe_88.jpeg,1200,1599,shoe,411,148,413,790
shoe_138.jpeg,574,1280,shoe,177,439,201,278
shoe_127.jpeg,1200,1599,shoe,375,693,274,657
shoe_127.jpeg,1200,1599,shoe,735,266,432,840
shoe_127.jpeg,1200,1599,shoe,51,111,357,861
shoe_122.jpeg,1200,1599,shoe,420,561,438,352
shoe_129.jpeg,1200,1599,shoe,260,473,940,665
shoe_89.jpeg,1200,1599,shoe,117,353,976,547
shoe_137.jpeg,1280,574,shoe,624,209,223,219
shoe_133.jpeg,1280,574,shoe,321,32,285,140
shoe_112.jpeg,1200,1599,shoe,404,28,414,755
shoe_132.jpeg,574,1280,shoe,282,254,172,183
shoe_96.jpeg,1200,1599,shoe,6,451,1135,600
shoe_93.jpeg,1200,1599,shoe,360,233,358,885
shoe_131.jpeg,1280,574,shoe,565,137,298,150
shoe_131.jpeg,1280,574,shoe,293,80,294,144
shoe_126.jpeg,1200,1599,shoe,127,545,951,623
shoe_128.jpeg,1200,1599,shoe,508,0,676,1535
shoe_98.jpeg,1200,1599,shoe,404,298,367,965
shoe_99.jpeg,1200,1599,shoe,474,496,310,830
shoe_90.jpeg,1200,1599,shoe,155,290,809,564
shoe_130.jpeg,1200,1599,shoe,534,521,409,749
shoe_95.jpeg,1200,1599,shoe,451,104,507,918
shoe_97.jpeg,1200,1599,shoe,373,211,464,952
shoe_136.jpeg,1280,574,shoe,296,196,642,262
shoe_103.jpeg,1200,1599,shoe,361,390,334,892
shoe_101.jpeg,1200,1599,shoe,420,381,378,918
shoe_6.jpg,4032,2268,shoe,379,675,2714,1142
shoe_27.jpg,4032,2268,shoe,89,619,3334,1305
shoe_15.jpg,2268,4032,shoe,350,323,1075,3166
shoe_26.jpg,4032,2268,shoe,4,112,3698,1545
shoe_9.jpg,2268,4032,shoe,503,765,1001,2220
shoe_19.jpg,2268,4032,shoe,464,268,1296,3248
shoe_24.jpg,2268,4032,shoe,15,242,1464,3201
shoe_4.jpg,2268,4032,shoe,221,260,1979,2890
shoe_12.jpg,4032,2268,shoe,125,131,3530,1628
shoe_14.jpg,4032,2268,shoe,66,329,3393,1245
shoe_5.jpg,4032,2268,shoe,590,532,2869,1235
shoe_22.jpg,2268,4032,shoe,375,258,1278,2848
shoe_28.jpg,4032,2268,shoe,185,111,3202,1561
shoe_16.jpg,4032,2268,shoe,126,74,3434,1517
shoe_17.jpg,2268,4032,shoe,642,296,1275,2735
shoe_20.jpg,2268,4032,shoe,275,303,1287,3288
shoe_1.jpg,2268,4032,shoe,341,488,1149,2867
shoe_13.jpg,4032,2268,shoe,780,470,2884,964
shoe_18.jpg,4032,2268,shoe,0,153,3603,1771
shoe_25.jpg,2268,4032,shoe,6,31,1674,3689
shoe_2.jpg,2268,4032,shoe,365,284,1009,3101
shoe_7.jpg,4032,2268,shoe,81,629,3005,1270
shoe_21.jpg,4032,2268,shoe,249,284,3139,1498
shoe_60.jpeg,1280,574,shoe,267,75,678,441
shoe_11.jpg,4032,2268,shoe,150,651,3235,1343
shoe_23.jpg,4032,2268,shoe,361,141,3338,1722
shoe_53.jpeg,1280,574,shoe,302,87,668,303
shoe_51.jpeg,1280,574,shoe,480,95,256,388
shoe_59.jpeg,1280,574,shoe,498,68,335,465
shoe_30.jpeg,1280,574,shoe,484,46,255,468
shoe_33.jpeg,1280,574,shoe,483,58,220,404
shoe_42.jpeg,1280,574,shoe,515,118,192,352
shoe_38.jpeg,1280,574,shoe,244,90,818,394
shoe_44.jpeg,1280,574,shoe,260,190,646,276
shoe_46.jpeg,1280,574,shoe,492,164,186,329
shoe_55.jpeg,1280,574,shoe,527,179,199,316
shoe_34.jpeg,1280,574,shoe,501,91,212,373
shoe_10.jpg,4032,2268,shoe,504,272,2824,1464
shoe_54.jpeg,1280,574,shoe,496,134,211,352
shoe_50.jpeg,1280,574,shoe,235,99,710,367
shoe_37.jpeg,1280,574,shoe,506,96,214,357
shoe_36.jpeg,1280,574,shoe,492,141,209,369
shoe_45.jpeg,1280,574,shoe,492,123,203,374
shoe_8.jpg,4032,2268,shoe,472,173,2819,1448
shoe_39.jpeg,1280,574,shoe,505,44,223,422
shoe_29.jpeg,1280,574,shoe,435,91,245,365
shoe_49.jpeg,1280,574,shoe,504,70,225,453
shoe_48.jpeg,1280,574,shoe,480,52,224,478
shoe_52.jpeg,1280,574,shoe,468,118,251,380
shoe_35.jpeg,1280,574,shoe,297,56,703,344
shoe_41.jpeg,1280,574,shoe,302,134,611,335
shoe_58.jpeg,1280,574,shoe,521,152,190,306
shoe_57.jpeg,1280,574,shoe,535,104,214,386
shoe_40.jpeg,1280,574,shoe,489,74,216,371
shoe_43.jpeg,1280,574,shoe,510,115,189,380
shoe_3.jpg,2268,4032,shoe,548,603,1114,2570
shoe_80.jpg,6936,9248,shoe,2481,4130,1339,581
shoe_87.jpg,9248,6936,shoe,4390,2070,3370,2150
shoe_76.jpg,9248,6936,shoe,1495,3241,5742,3369
shoe_77.jpg,6936,9248,shoe,2665,2947,2066,3716
shoe_65.jpg,6936,9248,shoe,1369,4393,4639,1984
shoe_82.jpg,6936,9248,shoe,4923,4197,1050,924
shoe_71.jpg,9248,6936,shoe,2282,2072,4217,2900
shoe_61.jpg,6936,9248,shoe,1890,760,3199,7620
shoe_68.jpg,6936,9248,shoe,2506,3802,1418,3206
shoe_31.jpeg,1280,574,shoe,241,98,634,350
shoe_79.jpg,9248,6936,shoe,3777,2310,1240,529
shoe_62.jpg,9248,6936,shoe,1895,2485,5137,2304
shoe_83.jpg,9248,6936,shoe,7374,4797,1027,1340
shoe_64.jpg,9248,6936,shoe,3044,2174,4514,2236
shoe_84.jpg,6936,9248,shoe,3125,3662,2202,1349
shoe_72.jpg,6936,9248,shoe,2386,3363,1474,4217
shoe_67.jpg,9248,6936,shoe,2047,2101,6117,2309
shoe_63.jpg,9248,6936,shoe,3567,443,2104,5815
shoe_81.jpg,6936,9248,shoe,3391,6262,2028,1312
shoe_85.jpg,6936,9248,shoe,2573,3200,1841,1732
shoe_69.jpg,9248,6936,shoe,2236,2838,5431,3388
shoe_47.jpeg,1280,574,shoe,215,9,696,505
shoe_74.jpg,6936,9248,shoe,2611,1446,2835,5636
shoe_75.jpg,9248,6936,shoe,2454,2028,4317,1537
shoe_70.jpg,9248,6936,shoe,1413,2817,5997,3347
shoe_32.jpeg,1280,574,shoe,232,89,738,360
shoe_56.jpeg,1280,574,shoe,238,52,806,423
shoe_78.jpg,6936,9248,shoe,1280,3020,4564,2769
shoe_86.jpg,6936,9248,shoe,3014,3904,929,1004
shoe_73.jpg,6936,9248,shoe,884,4086,5371,2253
